model,label_fraction,seed,covariance_type,reg_covar,accuracy,f1_macro,recall_macro,train_accuracy,train_f1_macro,train_recall_macro,generalization_gap,train_time_s,error,max_constraints
SemiSupervisedGMM,0.1,1,spherical,0.0001,0.8631553039625892,0.8770901965099548,0.87852850933216,0.8598101265822785,0.8777432918734801,0.8789606399272659,-0.0033451773803107043,0.13997277700400446,,
SemiSupervisedGMM,0.1,2,spherical,0.0001,0.866847157272951,0.8836066243932408,0.8853255128622395,0.8568565400843882,0.8738376227694439,0.8749908498002208,-0.009990617188562867,0.13764068199816393,,
SemiSupervisedGMM,0.1,0,spherical,0.01,0.8597095742062515,0.8760436680967282,0.8765638252599756,0.8627637130801687,0.878849830891734,0.8790649526277007,0.003054138873917256,0.13496131499414332,,
SemiSupervisedGMM,0.1,1,spherical,0.01,0.8653704159488063,0.8788255547652873,0.8795324984909205,0.8622362869198312,0.8792910806994493,0.8799909416014319,-0.00313412902897503,0.1717690239966032,,
SemiSupervisedGMM,0.1,2,spherical,0.01,0.8695545163672164,0.8859311579907104,0.8871211280716381,0.8589662447257383,0.87581822459898,0.8765797195001123,-0.01058827164147802,0.15011339000193402,,
ConstrainedKMeans,0.1,0,,,0.7974403150381492,0.7394411522626596,0.7792389302585153,0.7985232067510548,0.7392418300634445,0.77864652935613,0.0010828917129056537,0.9695344360006857,,50.0
ConstrainedKMeans,0.1,1,,,0.7994093034703421,0.7393857761049585,0.7782163746869379,0.7951476793248945,0.737884470895376,0.7770990617994096,-0.004261624145447618,0.8010032699967269,,50.0
ConstrainedKMeans,0.1,2,,,0.8006399212404627,0.7415767748699037,0.7811508913358481,0.7966244725738396,0.7381405800382372,0.7772897216418729,-0.004015448666623067,1.065084214998933,,50.0
ConstrainedKMeans,0.1,0,,,0.7858725079990155,0.7655628037910739,0.7885838638259378,0.7887130801687764,0.7678794483212501,0.7904800700716778,0.0028405721697608577,0.8892274429963436,,200.0
ConstrainedKMeans,0.1,1,,,0.7954713266059562,0.77491577638871,0.7964498708274282,0.7856540084388186,0.7691758133085441,0.788347290254549,-0.0098173181671376,0.7565099959974759,,200.0
ConstrainedKMeans,0.1,2,,,0.7925178439576668,0.7736981296772621,0.7948864402995308,0.784915611814346,0.7650358566509746,0.7864227206493294,-0.007602232143320786,1.0787787120061694,,200.0
ConstrainedKMeans,0.1,0,,,0.7915333497415703,0.7768915555453616,0.7951045648738194,0.794831223628692,0.7803284738228617,0.7978466274690107,0.0032978738871216606,0.9028193080011988,,500.0
ConstrainedKMeans,0.1,1,,,0.799163179916318,0.7823256874329149,0.801294475948089,0.7891350210970464,0.7757737097990052,0.7931683760035766,-0.01002815881927166,0.7358437489965581,,500.0
ConstrainedKMeans,0.1,2,,,0.8006399212404627,0.7881699754554001,0.8047523765081043,0.794409282700422,0.78258486178195,0.7985825999605815,-0.006230638540040689,1.3948082509959931,,500.0
ConstrainedKMeans,0.1,0,,,0.7952252030519321,0.7833901614485301,0.7996266361163615,0.7990506329113924,0.7874441430005062,0.8028671925780317,0.0038254298594603275,1.00045437800145,,1000.0
ConstrainedKMeans,0.1,1,,,0.8021166625646075,0.7875159537976861,0.8048647098310119,0.7930379746835443,0.7826949894270777,0.797904496035526,-0.009078687881063141,0.6821875489986269,,1000.0
ConstrainedKMeans,0.1,2,,,0.8018705390105834,0.7901156189405621,0.80631378166429,0.7955696202531646,0.7837565698634471,0.7994911484317972,-0.006300918757418783,1.363558182005363,,1000.0
